## htsjdk.samtools.metrics.StringHeader
# picard.analysis.directed.CollectHsMetrics BAIT_INTERVALS=[NGHS-102X_ROI.interval_list] TARGET_INTERVALS=[NGHS-102X_ROI.interval_list] INPUT=230420_M00766_0544_000000000-KRTLG_23M07372.bam OUTPUT=230420_M00766_0544_000000000-KRTLG_23M07372_hs_metrics.txt REFERENCE_SEQUENCE=/data/resources/human/gatk/2.8/b37/human_g1k_v37.fasta    MINIMUM_MAPPING_QUALITY=20 MINIMUM_BASE_QUALITY=20 CLIP_OVERLAPPING_READS=true METRIC_ACCUMULATION_LEVEL=[ALL_READS] NEAR_DISTANCE=250 COVERAGE_CAP=200 SAMPLE_SIZE=10000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Apr 21 15:21:32 UTC 2023

## METRICS CLASS	picard.analysis.directed.HsMetrics
BAIT_SET	GENOME_SIZE	BAIT_TERRITORY	TARGET_TERRITORY	BAIT_DESIGN_EFFICIENCY	TOTAL_READS	PF_READS	PF_UNIQUE_READS	PCT_PF_READS	PCT_PF_UQ_READS	PF_UQ_READS_ALIGNED	PCT_PF_UQ_READS_ALIGNED	PF_BASES_ALIGNED	PF_UQ_BASES_ALIGNED	ON_BAIT_BASES	NEAR_BAIT_BASES	OFF_BAIT_BASES	ON_TARGET_BASES	PCT_SELECTED_BASES	PCT_OFF_BAIT	ON_BAIT_VS_SELECTED	MEAN_BAIT_COVERAGE	MEAN_TARGET_COVERAGE	MEDIAN_TARGET_COVERAGE	PCT_USABLE_BASES_ON_BAIT	PCT_USABLE_BASES_ON_TARGET	FOLD_ENRICHMENT	ZERO_CVG_TARGETS_PCT	PCT_EXC_DUPE	PCT_EXC_MAPQ	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_OFF_TARGET	FOLD_80_BASE_PENALTY	PCT_TARGET_BASES_1X	PCT_TARGET_BASES_2X	PCT_TARGET_BASES_10X	PCT_TARGET_BASES_20X	PCT_TARGET_BASES_30X	PCT_TARGET_BASES_40X	PCT_TARGET_BASES_50X	PCT_TARGET_BASES_100X	HS_LIBRARY_SIZE	HS_PENALTY_10X	HS_PENALTY_20X	HS_PENALTY_30X	HS_PENALTY_40X	HS_PENALTY_50X	HS_PENALTY_100X	AT_DROPOUT	GC_DROPOUT	HET_SNP_SENSITIVITY	HET_SNP_Q	SAMPLE	LIBRARY	READ_GROUP
NGHS-102X_ROI	3101804739	23419	23419	1	1157787	1157787	1157787	1	1	1157787	1	112810781	112810781	112810781	0	0	112779174	1	0	1	4817.062257	4815.712626	2186	0.679382	0.679191	132448.214655	0	0	0.000006	0.000275	0	0	8.419078	0.986934	0.986934	0.986934	0.986934	0.986934	0.986293	0.986293	0.963448		0	0	0	0	0	0	12.234993	2.33986	0.986934	19			

## HISTOGRAM	java.lang.Integer
coverage	count	baseq_count
0	306	0
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	0	0
10	0	0
11	0	0
12	0	2
13	0	7
14	0	494
15	0	1875
16	0	55423
17	0	8101
18	0	30179
19	0	4685
20	0	9442
21	0	233
22	0	0
23	0	0
24	0	22
25	0	18
26	0	46
27	0	394
28	0	3389
29	0	49818
30	0	53259
31	15	63109
32	0	517378
33	0	817924
34	0	827708
35	0	198488
36	0	44828
37	0	1047020
38	0	133930
39	0	216966
40	0	108694436
41	0	0
42	0	0
43	0	0
44	0	0
45	0	0
46	0	0
47	0	0
48	0	0
49	0	0
50	0	0
51	0	0
52	0	0
53	0	0
54	0	0
55	1	0
56	2	0
57	12	0
58	136	0
59	111	0
60	0	0
61	0	0
62	45	0
63	0	0
64	0	0
65	0	0
66	0	0
67	1	0
68	1	0
69	73	0
70	0	0
71	0	0
72	0	0
73	71	0
74	0	0
75	0	0
76	0	0
77	0	0
78	0	0
79	0	0
80	0	0
81	0	0
82	0	0
83	0	0
84	1	0
85	0	0
86	5	0
87	24	0
88	52	0
89	0	0
90	0	0
91	0	0
92	0	0
93	0	0
94	0	0
95	0	0
96	0	0
97	0	0
98	0	0
99	0	0
100	0	0
101	0	0
102	87	0
103	0	0
104	2	0
105	5	0
106	27	0
107	80	0
108	0	0
109	0	0
110	0	0
111	0	0
112	0	0
113	0	0
114	0	0
115	0	0
116	0	0
117	0	0
118	0	0
119	0	0
120	0	0
121	0	0
122	0	0
123	0	0
124	0	0
125	0	0
126	0	0
127	0	0
128	0	0
129	0	0
130	0	0
131	0	0
132	0	0
133	0	0
134	0	0
135	2	0
136	86	0
137	0	0
138	0	0
139	0	0
140	0	0
141	0	0
142	0	0
143	0	0
144	0	0
145	0	0
146	0	0
147	7	0
148	59	0
149	5	0
150	81	0
151	0	0
152	0	0
153	0	0
154	0	0
155	0	0
156	3	0
157	105	0
158	6	0
159	35	0
160	0	0
161	0	0
162	0	0
163	0	0
164	0	0
165	35	0
166	189	0
167	0	0
168	0	0
169	2	0
170	1	0
171	3	0
172	3	0
173	4	0
174	19	0
175	191	0
176	0	0
177	33	0
178	64	0
179	0	0
180	0	0
181	0	0
182	0	0
183	0	0
184	0	0
185	0	0
186	0	0
187	0	0
188	0	0
189	0	0
190	0	0
191	0	0
192	4	0
193	22	0
194	56	0
195	0	0
196	0	0
197	0	0
198	0	0
199	0	0
200	21347	0

